GENDER,AGE,MARITAL_STATUS,PROFESSION
M,27,Single,Professional
F,39,Married,Other
F,39,Married,Other
F,56,Unspecified,Hospitality
M,45,Married,Retired
M,45,Married,Retired
F,39,Married,Other
F,49,Married,Other
F,49,Married,Other
M,47,Married,Retired
M,47,Married,Retired
M,21,Single,Retail
F,66,Married,Other
F,35,Married,Professional
M,20,Single,Sales
M,20,Single,Sales
M,20,Single,Sales
F,37,Single,Other
M,42,Married,Other
F,24,Married,Retail
F,24,Married,Retail
M,29,Single,Retail
M,29,Single,Retail
M,43,Married,Trades
M,43,Married,Trades
F,43,Unspecified,Hospitality
F,43,Unspecified,Hospitality
F,43,Unspecified,Hospitality
F,43,Unspecified,Hospitality
M,29,Single,Other
M,41,Married,Professional
M,32,Married,Other
M,34,Married,Sales
F,18,Single,Student
F,31,Married,Executive
M,28,Single,Trades
F,24,Single,Student
F,29,Single,Other
F,29,Single,Other
F,68,Unspecified,Hospitality
M,42,Married,Trades
M,42,Married,Trades
F,33,Married,Hospitality
F,33,Married,Hospitality
F,33,Married,Hospitality
F,54,Married,Other
F,54,Married,Other
F,54,Married,Other
M,38,Married,Executive
M,38,Married,Executive
M,38,Married,Executive
M,24,Single,Other
F,24,Unspecified,Other
F,24,Unspecified,Other
F,20,Single,Retail
F,20,Single,Retail
F,29,Single,Professional
M,40,Married,Other
F,49,Unspecified,Hospitality
F,26,Single,Other
F,51,Unspecified,Hospitality
M,29,Single,Professional
F,33,Married,Executive
M,47,Married,Professional
F,38,Married,Other
F,39,Married,Executive
M,29,Single,Professional
M,29,Single,Professional
F,33,Married,Executive
F,20,Single,Professional
M,31,Married,Other
F,31,Single,Other
F,42,Married,Other
F,42,Married,Other
F,42,Married,Other
M,21,Single,Trades
F,65,Married,Other
F,65,Married,Other
F,41,Unspecified,Hospitality
F,41,Unspecified,Hospitality
M,17,Single,Student
M,55,Married,Trades
M,55,Married,Trades
M,55,Married,Trades
M,55,Married,Trades
F,52,Married,Executive
M,35,Married,Trades
F,34,Single,Retail
M,25,Single,Other
M,25,Single,Other
M,25,Single,Other
F,18,Single,Retail
F,19,Single,Other
M,36,Single,Professional
M,33,Married,Professional
M,33,Married,Sales
F,30,Single,Professional
F,29,Single,Other
F,29,Single,Other
M,21,Single,Sales
M,21,Single,Sales
F,44,Married,Other
M,21,Single,Student
M,21,Single,Student
M,46,Married,Trades
F,47,Married,Sales
F,34,Single,Professional
F,24,Single,Professional
F,27,Single,Retail
F,28,Single,Professional
M,26,Married,Other
M,26,Married,Other
M,29,Single,Professional
M,29,Single,Professional
M,29,Single,Professional
F,23,Single,Professional
M,27,Single,Other
F,26,Married,Executive
F,26,Married,Executive
F,20,Single,Other
M,26,Single,Other
M,33,Married,Other
M,33,Married,Other
F,19,Single,Other
F,19,Single,Other
F,26,Married,Other
F,26,Married,Other
F,40,Married,Other
F,40,Married,Other
F,40,Married,Other
M,40,Single,Other
M,40,Single,Other
M,40,Single,Other
M,40,Single,Other
M,40,Single,Other
M,44,Single,Other
M,44,Single,Other
M,43,Married,Trades
M,43,Married,Trades
F,24,Single,Retail
M,28,Unspecified,Sales
F,22,Single,Professional
F,20,Married,Retail
F,46,Married,Retail
M,31,Unspecified,Sales
M,31,Unspecified,Sales
M,31,Unspecified,Sales
M,31,Unspecified,Sales
M,31,Unspecified,Sales
F,23,Single,Student
F,23,Single,Student
F,37,Married,Other
F,37,Married,Other
F,50,Married,Other
F,18,Single,Student
M,30,Single,Trades
F,67,Married,Other
M,30,Married,Other
M,24,Single,Professional
F,31,Married,Other
F,31,Married,Other
M,35,Married,Other
