X轴,Y轴,Z轴
6.933725551,9.619655457,-0.375455003
3.948627405,4.324368192,-1.100596539
4.28908696,9.718212418,-1.868993667
6.721077595,3.018222295,-0.568367961
5.183704197,0.59767169,-0.064323835
9.877733504,4.651897869,-0.498079168
9.804855775,5.155830702,0.058058108
3.412980117,4.057898352,-0.876823585
4.501852852,5.430090636,-0.32026399
8.950596395,8.611226107,-0.230311061
5.20548564,7.981295216,-1.007841191
3.495685161,7.019399536,0.394276646
8.966614415,1.622143777,0.39097691
9.585662913,9.095441347,-1.106448894
3.105201214,2.060684307,-0.43414364
3.524270322,4.801770706,-0.284143033
5.871226311,0.43860855,0.504938262
2.933157418,4.789416152,0.283880282
1.75020476,4.691235815,0.962797841
8.988969639,6.319949424,1.421467582
7.823619792,5.526155956,1.726418468
3.38107949,7.335720072,0.258166598
3.741968604,7.186934382,0.053716137
7.22994909,7.113054472,1.486501097
6.80108004,1.666359147,0.399634611
9.331209489,8.339603276,-0.373326222
6.51702158,6.575614541,1.189257491
7.217860039,1.520360439,0.854820393
9.787472588,3.306294054,-1.341262201
7.479820453,1.654941122,0.846768997
2.551853017,0.159418458,1.543464424
4.623901528,1.487921669,-0.913307716
3.702953454,4.745801189,-0.498932659
9.404346226,3.574073116,-0.887498608
9.150044852,6.401031291,1.264354259
1.361718231,6.223588688,1.976447326
9.344382432,8.355965558,-0.4008567
1.749383528,2.649849903,0.102584308
1.738131248,2.304029379,0.316756817
6.929014248,7.310654888,1.118847159
2.116985953,0.152720378,1.842870854
7.885166106,6.529087444,1.969431915
4.134449222,8.16810099,-1.146568974
2.249718339,6.392353425,1.772297175
7.211207291,2.933748954,-0.178042294
3.085424067,4.78605012,0.1297336
5.116777294,6.54979367,0.045326767
7.740862677,1.783967338,0.782048677
9.004600666,9.030497514,-0.515350883
4.883182173,1.614834121,-1.029473824
0.674338013,4.563732845,0.476271139
7.213246702,1.190277085,1.173059265
6.286870063,4.385528193,-0.317386862
3.656309249,7.626849971,-0.267104398
6.203804015,2.348525617,-0.780961279
5.946478823,7.805413775,-0.281831545
1.230367756,2.049316852,0.482145272
8.053288175,5.729606505,1.830852583
4.776523952,9.259131681,-1.984256054
0.602602536,7.178981846,1.191685676
9.361346156,2.125631883,-0.463414257
3.020743334,1.685141563,0.00645915
0.244097805,2.140540509,-0.297735685
7.68894721,0.070634498,1.983919121
7.527156708,8.820694265,0.124043522
1.563281696,5.039183579,1.320980689
4.92625627,8.827840234,-1.80427826
3.312875838,3.931688202,-0.874224336
7.70847991,1.754329299,0.806928945
6.406674115,4.884290507,0.294231349
6.484305429,5.102673905,0.580218928
8.472618789,7.574409661,1.090613827
3.000016396,9.3501191,-0.856110545
1.214070203,8.15260412,0.642841171
2.957842572,9.141883454,-0.7775337
4.503982131,9.405660833,-1.978179055
5.61529395,6.815560218,0.242272234
5.966723511,6.79420232,0.561041563
7.206999715,2.967282724,-0.18693978
0.369624394,8.697409749,-0.385661661
5.20337937,2.820879239,-1.830877083
8.829883276,6.248424208,1.559817428
0.104033374,1.563722488,0.110919598
5.294500209,1.519346063,-0.783876215
7.577076163,2.865479945,-0.000216423
9.320110066,8.564353418,-0.547638785
0.888352456,5.116652031,1.169375031
0.504743395,1.051062415,0.980232053
3.086826712,0.830825967,0.729004592
7.749947036,4.001568717,0.342137672
3.137574055,2.089044255,-0.491340306
7.689511423,5.421310355,1.63752064
9.444206228,3.972266348,-0.693805512
9.161595433,7.610053272,0.501671357
0.848885609,5.61642856,1.536376014
2.928191336,3.362164585,-0.763987196
8.179792304,4.482532765,0.719554038
4.158888556,5.028621148,-0.539701899
4.689399921,7.597017546,-0.745590267
8.939152205,8.510577629,-0.14366231
4.62382172,2.400406257,-1.733748549
0.550316933,2.624363993,-0.346235473
0.221203986,6.624652578,1.161668767
4.422966117,7.686689653,-0.791895999
4.178206787,1.84376471,-1.130276391
9.295519288,6.377191452,1.124483711
3.22566676,5.023421659,0.222066832
7.928275484,8.925406439,0.119357784
